"","V1"
"1",NA
"2",-15.12
"3",-15.12
"4",-0.670270270270269
"5",43.3428571428571
"6",-2.31666666666667
"7",-2.67083333333333
"8",12.2983050847458
"9",34.7
"10",-9.54166666666667
"11",-3.74827586206897
"12",3.72
"13",18.11
"14",-8.22142857142857
"15",4.85263157894737
"16",1.87777777777778
"17",-8.0625
"18",-12.4
"19",7.05462184873949
"20",-7.08125
"21",7.05462184873949
"22",-8.96829268292683
"23",-3.16111111111111
"24",26.4259259259259
"25",-0.0333333333333314
"26",-24.7615384615385
"27",-4.3
"28",-5.08333333333333
"29",-1.4
"30",-6.37073170731707
"31",NA
"32",-1.51176470588235
"33",2.76153846153846
"34",13.5111111111111
"35",-21.0333333333333
"36",7.05462184873949
"37",-5.81153846153846
"38",-10.8846153846154
"39",-3.74827586206897
"40",-0.291666666666668
"41",-1.4
"42",11.7444444444444
"43",-0.344444444444445
"44",-16.68
"45",1.85185185185185
"46",-5.60588235294118
"47",-24.7615384615385
"48",2.56818181818182
"49",-3.74827586206897
"50",-10.5769230769231
"51",-8.21666666666667
"52",-7.7
"53",-9.20909090909091
"54",-1.72666666666667
"55",6.525
"56",-1.55757575757576
"57",6.84285714285714
"58",-3.70434782608696
"59",-0.631249999999998
"60",NA
"61",NA
"62",-0.91538461538461
"63",-21.9
"64",2.56818181818182
"65",NA
"66",35.08
"67",-1.26666666666667
"68",0.453333333333333
"69",26.2694444444444
"70",NA
"71",-0.0333333333333314
"72",-10.51
"73",NA
"74",49.3714285714286
"75",-2.01764705882353
"76",-3.74827586206897
"77",0
"78",4.05
"79",-2.19090909090909
"80",-2.6952380952381
"81",-2.12307692307693
"82",20.7355555555556
"83",0.100000000000001
"84",25.6846153846154
"85",20.7355555555556
"86",9.1974358974359
"87",-1.81764705882353
"88",-2.31666666666667
"89",-0.190909090909091
"90",1.66666666666666
"91",11.7444444444444
"92",-6.525
"93",6.24
"94",6.70833333333333
"95",25.8536585365854
"96",12.2983050847458
"97",-3.16111111111111
"98",-7.23333333333333
"99",-8.96829268292683
"100",-12.85
"101",-10.51
"102",NA
"103",0.856521739130436
"104",-0.0333333333333314
"105",11.3361111111111
"106",NA
"107",6.84285714285714
"108",-4.3
"109",11.7444444444444
"110",-1.9
"111",-5
"112",-6.37073170731707
"113",-1.72666666666667
"114",-7.08125
"115",7.26842105263158
"116",1.93
"117",11.7444444444444
"118",2.51851851851852
"119",-0.31764705882353
"120",46.6714285714286
"121",-6.37073170731707
"122",-7.08571428571429
"123",7.13913043478261
"124",-4.14375
"125",5.33809523809524
"126",16.1714285714286
"127",6.03589743589744
"128",NA
"129",-13.2142857142857
"130",NA
"131",11.7444444444444
"132",1.87777777777778
"133",-2.58181818181818
"134",-10.8846153846154
"135",-0.61578947368421
"136",6.84285714285714
"137",-4.44285714285714
"138",-6.6
"139",7.05462184873949
"140",-26.4625
"141",-8.27692307692308
"142",9.01428571428571
"143",35.44
"144",NA
"145",53.39
"146",-8.80769230769231
"147",NA
"148",11.7444444444444
"149",-39.8692307692308
"150",-13.3666666666667
"151",-8.96829268292683
"152",-5.74545454545455
"153",11.7444444444444
"154",6.03589743589744
"155",43.3428571428571
"156",NA
"157",-2.43636363636364
"158",-8.13157894736842
"159",17.2947368421053
"160",-8.22142857142857
"161",-1.52222222222222
"162",-1.78571428571428
"163",97.21
"164",36.4727272727273
"165",0.400000000000002
"166",-8.48928571428571
"167",-6.03125
"168",17.62
"169",25.195
"170",-1.78
"171",5.5
"172",-8.96829268292683
"173",1.22666666666667
"174",-4.00526315789474
"175",1
"176",7.05462184873949
"177",26.4259259259259
"178",26.0285714285714
"179",-8.81666666666666
"180",NA
"181",-7.4
"182",9.92727272727273
"183",6.525
"184",-2.31666666666667
"185",-3.75
"186",3.836
"187",0.372727272727275
"188",NA
"189",-4.43125
"190",13.8346153846154
"191",-2.00714285714286
"192",35.08
"193",11.3
"194",-16.5333333333333
"195",-5.564
"196",3.78571428571428
"197",-3.74827586206897
"198",26.2555555555556
"199",NA
"200",11.3361111111111
"201",-2.09677419354838
"202",-6.37073170731707
"203",-5.41428571428571
"204",-0.683333333333334
"205",25.7095238095238
"206",-12.9666666666667
"207",12.2983050847458
"208",NA
"209",0
"210",-2.36363636363637
"211",-3.14375
"212",NA
"213",-13.7416666666667
"214",-6.8
"215",-1.55757575757576
"216",9.1974358974359
"217",1.93
"218",9.92727272727273
"219",7.45454545454545
"220",NA
"221",-1.96666666666667
"222",-12.225
"223",NA
"224",NA
"225",-3.74827586206897
"226",-12.1555555555556
"227",25.6846153846154
"228",54.9363636363636
"229",8.04615384615385
"230",-12.8333333333333
"231",4.46428571428572
"232",-3.70434782608696
"233",0.179999999999993
"234",NA
"235",-26.6384615384615
"236",-6.70689655172414
"237",NA
"238",11.22
"239",-1.97358490566038
"240",-17.7133333333333
"241",7.87777777777778
"242",1
"243",-1.25454545454545
"244",39.55
"245",-3.14516129032258
"246",8.04615384615385
"247",-9.42666666666667
"248",-5.41428571428571
"249",-4.00526315789474
"250",47.2714285714286
"251",-9.68888888888889
"252",-6.28571428571428
"253",-4.14375
"254",0.224999999999998
"255",-3.74827586206897
"256",NA
"257",18.11
"258",-9.15
"259",5.33809523809524
"260",-9.42666666666667
"261",-13.2142857142857
"262",-8.27692307692308
"263",-2.67083333333333
"264",2.084
"265",-21.2555555555556
"266",9.92727272727273
"267",12.2983050847458
"268",1.8
"269",-21.0333333333333
"270",0.523076923076923
"271",NA
"272",-0.31764705882353
"273",35.44
"274",-12.4
"275",-3.74827586206897
"276",-1.96153846153846
"277",-5.78947368421053
"278",-5.715
"279",6.5625
"280",-8.96829268292683
"281",-2.70952380952381
"282",7.13478260869565
"283",-1.97358490566038
"284",-3.14375
"285",39.1086956521739
"286",3.72
"287",NA
"288",NA
"289",10.1742857142857
"290",1.62142857142857
"291",-16.1454545454545
"292",NA
"293",7.05462184873949
"294",-8.13157894736842
"295",-1.4
"296",-12.1555555555556
"297",-4.00526315789474
"298",11.7444444444444
"299",1.52941176470588
"300",-6.56666666666667
"301",13.4846153846154
"302",2.56818181818182
"303",-3.17333333333333
"304",-5.715
"305",-3.55714285714286
"306",-19.4761904761905
"307",2.08888888888889
"308",25.195
"309",NA
"310",17.2947368421053
"311",38.1666666666667
"312",17.1851851851852
"313",2.56818181818182
"314",-4.00526315789474
"315",12.15
"316",4.85263157894737
"317",3.93333333333333
"318",12.5041666666667
"319",20.4875
"320",-1.97358490566038
"321",5.12790697674419
"322",3.93333333333333
"323",36.1114285714286
"324",7.05462184873949
"325",-1.152
"326",-4.04705882352941
"327",-2.00714285714286
"328",-3.74827586206897
"329",-3.74827586206897
"330",NA
"331",7.73636363636363
"332",-8.93333333333333
"333",36.1666666666667
"334",NA
"335",NA
"336",1.46363636363636
"337",4.63636363636363
"338",-9.68888888888889
"339",-1.97358490566038
"340",-3.14516129032258
"341",13.4846153846154
"342",21.55
"343",7.05462184873949
"344",6.03589743589744
"345",13.3222222222222
"346",-10.2842105263158
"347",-9.42666666666667
"348",10.8142857142857
"349",-2.58181818181818
"350",14.2
"351",-5.91363636363636
"352",NA
"353",-13.4307692307692
"354",-1.55757575757576
"355",17.62
"356",-6.965625
"357",36.1666666666667
"358",NA
"359",-4.54230769230769
"360",NA
"361",25.7095238095238
"362",-9.20909090909091
"363",NA
"364",-6.37073170731707
"365",2.72105263157895
"366",-3.74827586206897
"367",-0.699999999999999
"368",-10.94
"369",12.175
"370",5.33809523809524
"371",-12.6259259259259
"372",-0.390909090909091
"373",-2.09677419354838
"374",-0.794444444444444
"375",-5.73333333333333
"376",NA
"377",8
"378",40.8375
"379",-11
"380",-1.55757575757576
"381",12.5041666666667
"382",6.52307692307692
"383",28.0857142857143
"384",39
"385",2.51851851851852
"386",-10.5769230769231
"387",14.2
"388",42.3428571428571
"389",-6.37073170731707
"390",-11.8
"391",NA
"392",0.418181818181818
"393",-2.15833333333333
"394",2.56818181818182
"395",-5.78947368421053
"396",13.85
"397",0.856521739130436
"398",-2.0125
"399",10.5230769230769
"400",-1.78
"401",3.83333333333333
"402",NA
"403",0
"404",-2.1875
"405",-6.03125
"406",NA
"407",-6.37073170731707
"408",7.05462184873949
"409",-1.71111111111111
"410",0.659090909090907
"411",-5.715
"412",0.333333333333334
"413",-4.00526315789474
"414",-6.33
"415",-6.78888888888889
"416",-4.00526315789474
"417",2.56818181818182
"418",-16.5526315789474
"419",-0.164705882352942
"420",54.9363636363636
"421",40.8375
"422",-4.43125
"423",-16.65
"424",-4.14375
"425",NA
"426",-6.6
"427",-5.81153846153846
"428",-9.15
"429",-8.21666666666667
"430",-13.7416666666667
"431",NA
"432",0.894736842105264
"433",NA
"434",3.18181818181818
"435",NA
"436",-8.81666666666666
"437",-19.1529411764706
"438",NA
"439",-1.96666666666667
"440",25.8536585365854
"441",-1.4
"442",2.56818181818182
"443",-0.670270270270269
"444",NA
"445",NA
"446",-13.76
"447",-7.72857142857143
"448",-8.96829268292683
"449",NA
"450",NA
"451",54.9363636363636
"452",-4.85
"453",NA
"454",9.97777777777778
"455",-9.54166666666667
"456",-6.28571428571428
"457",NA
"458",0.577272727272728
"459",12.5041666666667
"460",85.09
"461",-8.81666666666666
"462",NA
"463",-5.51724137931034
"464",10.1742857142857
"465",26.4259259259259
"466",-4.2
"467",-21.9
"468",2.72105263157895
"469",NA
"470",0.577272727272728
"471",-8.13157894736842
"472",11.85
"473",6.84285714285714
"474",-1.97358490566038
"475",-9.54166666666667
"476",3.87647058823529
"477",0.426666666666666
"478",2.56818181818182
"479",-1.4
"480",NA
"481",4.85263157894737
"482",-12.6259259259259
"483",-1.97358490566038
"484",-2.31111111111111
"485",25.8536585365854
"486",NA
"487",-8.81666666666666
"488",-3.43
"489",-3
"490",2.56818181818182
"491",25.8536585365854
"492",25.8536585365854
"493",-6.74
"494",-3.16111111111111
"495",4.79259259259259
"496",11.3361111111111
"497",85.09
"498",NA
"499",NA
"500",NA
