"","V1"
"1",44.5653846153846
"2",-61.9142857142857
"3",61.359090909091
"4",481.451428571429
"5",193.090909090909
"6",-79.4241379310345
"7",54.1761904761906
"8",443.53
"9",-116.273170731707
"10",35.7888888888888
"11",-5.98461538461538
"12",61.359090909091
"13",-107.73025210084
"14",-217.348484848485
"15",-156.07
"16",102.018181818182
"17",-6.74090909090904
"18",35.7888888888888
"19",89.2217391304348
"20",301.94
"21",153.395
"22",-243
"23",-60.1375
"24",155.677272727273
"25",329.785714285714
"26",-443.972727272727
"27",-28.9951219512195
"28",-151.935714285714
"29",-303.66
"30",-107.73025210084
"31",-159.318181818182
"32",-313.162962962963
"33",47.5519999999997
"34",-583
"35",61.5105263157893
"36",304.527272727273
"37",-107.73025210084
"38",-290.605263157895
"39",-107.73025210084
"40",-123.464705882353
"41",-332.075471698113
"42",-13.8346153846154
"43",-363.554545454545
"44",-9.47142857142856
"45",44.8190476190475
"46",-13.8346153846154
"47",87.4610169491525
"48",-583
"49",-332.075471698113
"50",-73.4021739130435
"51",5.06499999999994
"52",450.722222222222
"53",58.9608695652175
"54",-202.533333333333
"55",71.1285714285714
"56",-131.8
"57",-34.9538461538461
"58",23.2857142857143
"59",-13.8346153846154
"60",-15.38
"61",-361.615151515151
"62",-105.438461538462
"63",-9.89999999999998
"64",-113
"65",109.7
"66",-135.335714285714
"67",9.02878787878763
"68",-405.988888888889
"69",192.9625
"70",87.4610169491525
"71",210.32
"72",34.5666666666666
"73",312.2
"74",-107.73025210084
"75",18.7133333333336
"76",93.3615384615377
"77",-4.64166666666667
"78",-105.438461538462
"79",-30.33125
"80",-86.6578125000001
"81",-36.4
"82",44.5653846153846
"83",67.8571428571431
"84",-138.688888888889
"85",121.0375
"86",-107.73025210084
"87",-56.309677419355
"88",57.0363636363636
"89",67.8730769230768
"90",481.451428571429
"91",27.7375
"92",35.7888888888888
"93",-278.892452830189
"94",-128.7
"95",-11.5306818181816
"96",-65.1749999999997
"97",57.0363636363636
"98",51.753448275862
"99",-4.97058823529414
"100",443.53
"101",-28.9951219512195
"102",44.5653846153846
"103",-77.951724137931
"104",-185.471428571429
"105",-123.86
"106",-271.328571428571
"107",-39.8961538461535
"108",-534.085714285714
"109",-313.828571428572
