"","V1"
"1",-24.3222222222223
"2",-31.4777777777778
"3",-88.6882352941177
"4",-106.925
"5",-198.2
"6",-192.416666666667
"7",-89.8166666666667
"8",-35.14
"9",1.89375000000001
"10",-123.238709677419
"11",-27.6166666666667
"12",-28.2771428571428
"13",-376.755555555555
"14",-55.4298850574713
"15",-58.8578947368419
"16",-52.1250000000001
"17",-17.665
"18",-9.95714285714284
"19",-14.9833333333333
"20",-25.3818181818182
"21",-121.428
"22",-31.0814814814815
"23",-0.733333333333334
"24",-179.833333333333
"25",-10.2607142857143
"26",-55.4298850574713
"27",33.1195652173914
"28",-12.1090909090909
"29",-106.925
"30",-177.016216216216
"31",-172.172
"32",-146.312195121951
"33",-111.840677966102
"34",-10.3857142857143
"35",-218.95
"36",46.409090909091
"37",-60.9238095238095
"38",-5.1125
"39",-96.7487804878049
"40",-42.5083333333333
"41",82.1222222222218
"42",-233.14
"43",-268.442857142857
"44",-364.922222222222
"45",-26.3615384615385
"46",-88.6882352941177
"47",13.8210526315788
"48",-83.7575757575758
"49",-83.7575757575758
"50",-6.22142857142858
"51",-13.9947368421053
"52",-111.840677966102
"53",-2.47142857142857
"54",-55.4298850574713
"55",-8.87391304347825
"56",-3.03333333333333
"57",33.1195652173914
"58",-15.0055555555556
"59",-83.7575757575758
"60",20.5615384615384
"61",0.5
"62",-23.978947368421
"63",-304.76
"64",-41
"65",-55.4298850574713
"66",-0.448780487804925
"67",-64.3416666666667
"68",-15.0714285714286
"69",-234.870588235294
"70",-15.46
"71",-3.35263157894737
"72",-83.7575757575758
"73",-55.4298850574713
"74",-45.4659340659339
"75",-61.5545454545455
"76",-309.972222222222
"77",0.376923076923084
"78",-139.5475
"79",-83.7575757575758
"80",-15.9913043478261
"81",-546.383333333334
"82",-20.4916666666667
"83",-988.924999999999
"84",-7.22
"85",25.0999999999999
"86",1.68295454545455
"87",-206.171428571428
"88",-8.87391304347825
"89",-33.425
"90",-145.962962962963
"91",-106.925
"92",-31.0814814814815
"93",-407.877777777778
"94",-170.315
"95",-10.2607142857143
"96",-52.6864864864865
"97",32.2090909090909
"98",-55.4298850574713
"99",-144.019230769231
"100",-50.6820512820514
"101",-28.2771428571428
"102",1.68295454545455
"103",4.78333333333333
"104",-17.665
"105",-10.2607142857143
"106",-88.6882352941177
"107",-36.4590909090909
"108",-28.2771428571428
"109",-28.3217391304347
"110",-18.9222222222222
"111",-10.8235294117647
"112",-111.840677966102
"113",-23.4000000000001
"114",-150.843478260869
"115",-130.142424242424
"116",-309.972222222222
"117",-145.962962962963
"118",80.7606060606061
"119",-7.22
"120",-21.821052631579
"121",-87.0666666666666
"122",-144.378571428572
"123",-12.2294117647059
"124",-74.0983050847458
"125",-44.09
"126",-21.821052631579
"127",-42.95
"128",-14.175
"129",-45.4659340659339
"130",-74.0983050847458
"131",-542.766666666666
"132",-10.6
"133",-36.43
"134",-53.6291666666666
"135",-159.952777777778
"136",37.6266666666668
"137",-15.5125
"138",13.0714285714286
"139",-475.285714285714
"140",-177.016216216216
"141",-84.2666666666667
"142",-88.6882352941177
"143",-0.226666666666574
"144",-3.5
"145",-121.931034482759
"146",-139.5475
"147",-131.552380952381
"148",-18.611111111111
"149",-171.311111111111
"150",-140.355
"151",16.6214285714286
"152",-111.840677966102
"153",4.78333333333333
"154",-171.311111111111
"155",-10.136
"156",-50.9846153846154
"157",-23.53
"158",-5.9588235294118
"159",-121.931034482759
"160",-62.88
"161",-67.1
"162",-55.4298850574713
"163",-111.840677966102
"164",39.02
"165",-45.4659340659339
"166",-218.95
"167",-88.6882352941177
"168",-42.5083333333333
"169",-31.0814814814815
"170",-137.376923076923
"171",-179.833333333333
"172",-47.1615384615385
"173",-83.7575757575758
"174",-39.5857142857142
"175",-111.65
"176",-268.442857142857
"177",-2.33333333333333
"178",-322.515384615385
"179",-94.75
"180",-8.87391304347825
"181",-80.1727272727272
"182",-23.6866666666667
"183",-91.49
"184",-28.2771428571428
"185",-42.9111111111112
"186",-168.377272727273
"187",-39.8352941176471
"188",-10.1875
"189",-90.3782608695652
"190",-5.9588235294118
"191",-3.46923076923077
"192",-365.445454545454
"193",-151.307692307692
"194",-7.09
"195",-159.508333333333
"196",-18.52
"197",-25.3818181818182
"198",-159.508333333333
"199",-7.06999999999999
"200",-31.4777777777778
"201",-145.962962962963
"202",-3.35263157894737
"203",71.2
"204",16.6214285714286
"205",-49.1285714285714
"206",-106.925
"207",-74.0983050847458
"208",-88.6882352941177
"209",-45.4659340659339
"210",-96.7487804878049
"211",-50.6820512820514
"212",63.2833333333333
"213",-27.0833333333333
"214",9.43749999999997
"215",-23.978947368421
"216",-12.45
"217",-83.7575757575758
"218",-59.4714285714285
"219",-5.65384615384615
"220",-206.7
"221",-7.92857142857142
"222",-55.4298850574713
"223",-111.840677966102
"224",-32.4
"225",-193.416666666667
"226",-42.7153846153846
"227",-168.266666666667
"228",-123.238709677419
"229",-7.7
"230",-111.861111111111
"231",-28.4333333333333
"232",-198.2
"233",66.8826086956524
"234",-259.721621621622
"235",-21.32
"236",-19.5
"237",-53.6291666666666
"238",-83.7575757575758
"239",-105.008620689655
"240",-45.4659340659339
"241",-34.775
"242",0.5
"243",-108.264150943396
"244",20.5615384615384
"245",-214.74
"246",-105.008620689655
"247",-74.0983050847458
"248",-3.79545454545455
"249",-31.0814814814815
"250",-51.3976190476192
"251",9.17948717948718
"252",-171.311111111111
"253",-84.2666666666667
"254",-5.65384615384615
"255",-17.6184210526316
"256",-111.65
"257",56.5666666666666
"258",-88.6882352941177
"259",9.17948717948718
"260",-58.7116666666666
"261",-20.4428571428572
"262",-9.54230769230769
"263",-69.6857142857143
"264",-192.416666666667
"265",-32.7083333333334
"266",-44.068817204301
"267",-80.14
"268",-10.136
"269",-31.3875
"270",-123.238709677419
"271",-177.016216216216
"272",-83.7575757575758
"273",-54.776923076923
"274",-8.87391304347825
"275",-351.945454545454
"276",-74.0983050847458
"277",-7.71818181818182
"278",-7.22
"279",-123.238709677419
"280",-42.95
"281",-15.6384615384615
"282",-16.1733333333333
"283",-8.03846153846155
"284",-34.6714285714285
"285",-367.092857142857
"286",2
"287",1.68295454545455
"288",-7.43888888888887
"289",2.03999999999996
"290",-83.7575757575758
"291",-150.784210526316
"292",-184.295652173913
"293",-368.481818181818
"294",-368.481818181818
"295",-45.4659340659339
"296",-108.264150943396
"297",-146.312195121951
"298",-139.5475
"299",-7.02727272727273
"300",-96.7487804878049
"301",-55.4298850574713
"302",-74.0983050847458
"303",-74.0983050847458
"304",-41.8933333333333
"305",-28.5722222222225
"306",-45.4659340659339
"307",13.1580645161291
"308",-7.02727272727273
"309",-33.425
"310",-74.0983050847458
"311",-88.6882352941177
"312",-39.8352941176471
"313",-28.4
"314",-23.978947368421
"315",-376.755555555555
"316",-25.3818181818182
"317",-210.290476190476
"318",-34.775
