"","V1"
"1",-8.99195402298851
"2",-7.53913043478261
"3",4.5140625
"4",-14.725
"5",-2.93389830508475
"6",-13.6333333333333
"7",-8.99195402298851
"8",3.1969696969697
"9",-8.99195402298851
"10",-5.36666666666667
"11",-5.97192982456141
"12",-22.49375
"13",-9.825
"14",-2.46666666666667
"15",-4.47884615384615
"16",-7.65128205128205
"17",3.1969696969697
"18",NA
"19",16.0066666666667
"20",3.1969696969697
"21",-24.2888888888889
"22",-0.122727272727268
"23",-8.99195402298851
"24",-8.99195402298851
"25",13.9428571428571
"26",-0.333333333333336
"27",-0.913207547169812
"28",-35.95
"29",-5.44406779661017
"30",-8.99195402298851
"31",-1.78888888888889
"32",-6.38181818181818
"33",-0.174999999999997
"34",NA
"35",-1.33333333333333
"36",NA
"37",-0.913207547169812
"38",-37.2857142857143
"39",-3.8
"40",-1.97499999999999
"41",-3.8
"42",-10.5777777777778
"43",7.15454545454546
"44",-0.680000000000007
"45",0.68
"46",-4.22592592592593
"47",-5.10869565217391
"48",-5.36538461538461
"49",3.22142857142858
"50",-10.1818181818182
"51",-35.95
"52",-9.31081081081081
"53",12.0909090909091
"54",-12.264
"55",-3.15126050420168
"56",-67.9166666666667
"57",-8.59166666666667
"58",-1.97647058823529
"59",-12.3826086956522
"60",-3.1275
"61",5.73
"62",6.45714285714286
"63",NA
"64",-8.99195402298851
"65",13.9428571428571
"66",-4.53243243243244
"67",-2.17222222222222
"68",0.168421052631579
"69",-7.76363636363636
"70",2.845
"71",-24.2888888888889
"72",-0.526923076923076
"73",-18.4142857142857
"74",-3.15126050420168
"75",-0.913207547169812
"76",-3.15126050420168
"77",-0.86931818181818
"78",3.25
"79",-0.86931818181818
"80",0.227777777777774
"81",-14.84
"82",1.03611111111111
"83",7.84482758620689
"84",0.760215053763439
"85",1.42857142857143
"86",-0.112500000000004
"87",-9.82
"88",11.2647058823529
"89",10.3428571428571
"90",2.75714285714286
"91",-7.70909090909091
"92",-4.9758064516129
"93",NA
"94",-10.5777777777778
"95",0.155555555555559
"96",-5.76857142857143
"97",-10.65
"98",-5.48571428571429
"99",-0.580000000000005
"100",-7.2
"101",4.14571428571428
"102",8.03658536585365
"103",17.9818181818182
"104",-2.3
"105",-8.99195402298851
"106",-15.1142857142857
"107",2.25
"108",-4.74545454545455
"109",0.168421052631579
"110",-9.40000000000001
"111",-7.2
"112",NA
"113",NA
"114",-7.9875
"115",3.1969696969697
"116",-3.1275
"117",18.0961538461538
"118",5.27586206896552
"119",-7.70909090909091
"120",-1.88157894736842
"121",3.66842105263158
"122",2.62
"123",0.760215053763439
"124",25.3866666666667
"125",-2.93389830508475
"126",14.3705882352941
"127",-7.8
"128",0.18181818181818
"129",-0.86931818181818
"130",-16.9607142857143
"131",-38.9833333333333
"132",-8.59166666666667
"133",2.70714285714286
"134",-4.60434782608696
"135",-10.5863636363636
"136",-22.49375
"137",15.5
"138",6.885
"139",6.20625
"140",-0.913207547169812
"141",NA
"142",3.1969696969697
"143",-20.3636363636364
"144",3.1969696969697
"145",-7.72857142857143
"146",-9.74615384615385
"147",16.8
"148",-16.9607142857143
"149",-4.02222222222222
"150",-2.555
"151",-5.8576923076923
"152",-3.8
"153",0.760215053763439
"154",13
"155",12.9875
"156",11.2647058823529
"157",-5.10869565217391
"158",5.17142857142857
"159",0.238461538461539
"160",8.15555555555555
"161",-8.99195402298851
"162",NA
"163",18.0961538461538
"164",6.81818181818182
"165",-2.46666666666667
"166",-0.913207547169812
"167",-9.32580645161291
"168",-18.5777777777778
"169",-21.9636363636364
"170",3.1969696969697
"171",18.3111111111111
"172",0.163636363636364
"173",-2.17222222222222
"174",-2.17222222222222
"175",-1.805
"176",5.93333333333333
"177",NA
"178",-2.78421052631579
"179",3.1969696969697
"180",-4.02307692307692
"181",11.1
"182",-9.31081081081081
"183",-5.36538461538461
"184",2.8
"185",-2.78421052631579
"186",11.1
"187",3.1969696969697
"188",-4.47884615384615
"189",26.4666666666667
"190",-4.8962962962963
"191",-7.8
"192",2.8
"193",-3.81428571428572
"194",1.2
"195",0.931999999999999
"196",-18.4111111111111
"197",3.51538461538461
"198",-3.8
"199",6.41739130434782
"200",-2.05333333333333
"201",-3.1275
"202",NA
"203",-3.15126050420168
"204",2.19
"205",3.1969696969697
"206",1.86666666666667
"207",0.760215053763439
"208",-24.1285714285714
"209",6.55
"210",-4.53243243243244
"211",3.1969696969697
"212",-1.22222222222222
"213",NA
"214",-1.805
"215",-7.595
"216",NA
"217",-1.97647058823529
"218",-7.70909090909091
"219",-0.545454545454547
"220",-1.88157894736842
"221",-2.555
"222",NA
"223",-2.88333333333333
"224",6.93157894736842
