"","V1"
"1",-219.326666666667
"2",1.64166666666665
"3",-3.42222222222222
"4",-3.80454545454545
"5",21.36
"6",-63.6696969696969
"7",7.79999999999998
"8",-193.153846153846
"9",122.169696969697
"10",-47.8166666666667
"11",-6.40000000000001
"12",-7.11923076923077
"13",95.1260869565218
"14",11.85
"15",-123.1953125
"16",-53.95
"17",-68.1735632183908
"18",-18.7833333333333
"19",-31.3083333333333
"20",-157.6875
"21",21.5250000000001
"22",-7.11923076923077
"23",-94.1396226415093
"24",18.1800000000001
"25",18.0684210526315
"26",169.788571428571
"27",-22.4204301075267
"28",-39.8742857142856
"29",-246.54
"30",-51.2533333333333
"31",-25.175
"32",-12.9086956521739
"33",-68.1735632183908
"34",25.8291666666667
"35",3.53181818181827
"36",-141.345
"37",183.621428571429
"38",-333.3
"39",-355.427272727273
"40",-6.68421052631579
"41",-109.960869565218
"42",-84.0169491525423
"43",-127.736363636364
"44",-216.811111111111
"45",-23.5266666666666
"46",33.9761904761905
"47",36.9324324324323
"48",-31.34
"49",-35.4470588235294
"50",-41.904
"51",-219.913333333333
"52",-37.9785714285713
"53",-68.1735632183908
"54",-94.1396226415093
"55",-19.7176470588236
"56",28.39
"57",-17.0888888888889
"58",-36.3083333333334
"59",-111.790697674419
"60",27.8065217391305
"61",-177.503703703704
"62",-82.9434782608698
"63",-57.20625
"64",17.2142857142857
"65",-53.95
"66",-35.8894736842105
"67",-35.38125
"68",-15.8
"69",-53.95
"70",-398.333333333333
"71",-49.9703703703703
"72",-157.6875
"73",-110.101886792453
"74",-72.4439393939394
"75",-72.4439393939394
"76",-65.3571428571429
"77",-134.427777777778
"78",-24.4333333333333
"79",-39.8742857142856
"80",-46.9071428571428
"81",-39.4414634146341
"82",-248.427777777778
"83",-123.1953125
"84",-8.79999999999995
"85",-39.8742857142856
"86",-19.662962962963
"87",-45.04
"88",-155.164516129032
"89",-35.8894736842105
"90",-91.5857142857144
"91",6.10454545454536
"92",-473.542857142857
"93",-33.8
"94",61.0285714285714
"95",-37.0181818181818
"96",-77.8
"97",-1216.8
"98",-167.672727272727
"99",-120.91
"100",-41.2421052631579
"101",-215.765
"102",-72.4439393939394
"103",-200.728571428572
"104",-75.8222222222222
"105",-4.13999999999987
"106",-10.1166666666667
"107",-132.20303030303
"108",-37.8
"109",-63.7090909090909
"110",-98.1777777777778
"111",-22.79375
"112",-22.936
"113",-39.4414634146341
"114",-21.6076923076923
"115",-37.9785714285713
"116",-25.7733333333333
"117",-36.3083333333334
"118",19.5375
"119",-72.4439393939394
"120",-47.545
"121",-51.62
"122",-91.5857142857144
"123",-25.99
"124",-132.20303030303
"125",-37.2111111111111
"126",-237.9
"127",-219.326666666667
"128",-13.425
"129",-83.0181818181818
"130",-72.4439393939394
"131",-12.09
"132",-14.9833333333333
"133",2.94166666666668
"134",-91.5857142857144
"135",-35.0368421052632
"136",-72.6285714285714
"137",-12.09
"138",5.05227272727279
"139",41.8532258064517
"140",-34.1
"141",-110.101886792453
"142",-110.101886792453
"143",-60.0928571428571
"144",-20.2
"145",-10.0769230769231
"146",-220.7875
"147",-215.765
"148",-20.77
"149",18.359090909091
"150",-39.4414634146341
"151",-143.646153846154
"152",-213.994117647059
"153",-156.48
"154",-37.9785714285713
