"","V1"
"1",-170.235555555555
"2",-220.022222222222
"3",-10.0727272727272
"4",-22.4962962962963
"5",-46.4727272727273
"6",58.24375
"7",-252.446153846154
"8",-5.04090909090909
"9",-19.9777777777778
"10",-209.54
"11",-189.666666666667
"12",-10.5692307692308
"13",-57.3275862068965
"14",-25.6363636363636
"15",-174.302702702703
"16",-240.670588235294
"17",-177.720833333333
"18",-84.6621848739496
"19",-28.5636363636364
"20",-169.981818181818
"21",-57.3275862068965
"22",-66.6023809523811
"23",-5.77000000000001
"24",-9.49999999999999
"25",-21.8545454545454
"26",-358.190909090909
"27",-9.41249999999998
"28",-617.566666666667
"29",-209.54
"30",-12.5142857142857
"31",1.58571428571428
"32",-18.2
"33",-8.85555555555555
"34",-21.9357142857143
"35",-14.325
"36",-123.048275862069
"37",-47.1840659340658
"38",-20.875
"39",-68.4999999999999
"40",-213.64
"41",-102.910344827586
"42",-47.1840659340658
"43",-24.6222222222223
"44",-174.104347826087
"45",-77.5424242424242
"46",-7.16666666666667
"47",-10.2
"48",-50.0769230769231
"49",-102.910344827586
"50",-0.199999999999996
"51",-13.9461538461538
"52",-13.9
"53",-49.5108108108109
"54",-46.3
"55",-38.2454545454545
"56",-201.846666666667
"57",-3.08461538461538
"58",13.1794871794872
"59",-84.6621848739496
"60",0.0533333333333346
"61",-77.5424242424242
"62",-12.5142857142857
"63",-1.74000000000001
"64",-39.3125
"65",-83.54
"66",-27.8875
"67",-79.5999999999999
"68",-51.4416666666667
"69",-7.58571428571428
"70",-50.0769230769231
"71",-174.302702702703
"72",-57.3275862068965
"73",-54.875
"74",-33.1333333333333
"75",-34.6333333333334
"76",-41.7214285714286
"77",-17.3652173913043
"78",-13.66
"79",-25.347619047619
"80",-255.521428571429
"81",-134.46
"82",13.1794871794872
"83",-10.5692307692308
"84",-32.5111111111111
"85",-157.566666666667
"86",-10.5294117647059
"87",-77.5424242424242
"88",-143.06
"89",-10.5692307692308
"90",-33.3428571428571
"91",-404.607142857143
"92",-79.5999999999999
"93",-25.3390243902439
"94",149.009677419355
"95",-84.6621848739496
"96",-44.4625
"97",-50.7633333333333
"98",-143.89
"99",-7.46
"100",-50.8210526315791
"101",-47.1840659340658
"102",-14.9921052631579
"103",-213.64
"104",-30.415625
"105",-116.578125
"106",-127.290322580645
"107",-21.4772727272727
"108",-91.4807692307691
"109",-71.3607142857143
"110",-81.6608695652176
"111",-358.190909090909
"112",-3.16666666666667
"113",-617.566666666667
"114",-43.0111111111111
"115",-35.1714285714286
"116",-208.447619047619
"117",121.106060606061
"118",-17.0285714285714
"119",31.8368421052631
"120",-19.53125
"121",-230.982352941176
"122",-98.8924528301887
"123",-5.20769230769231
"124",-84.4388888888889
"125",-6.55
"126",-276.414285714286
"127",-98.8924528301887
"128",-255.521428571429
"129",-77.5424242424242
"130",-14.9921052631579
"131",-41.2266666666667
"132",-18.175
"133",-23.0714285714286
"134",-50.7633333333333
"135",-116.578125
"136",-273.861111111111
"137",-13.9461538461538
"138",-126.490909090909
"139",-240.842857142857
"140",-44.4
"141",0.0533333333333346
"142",-26.9411764705882
"143",-20.7428571428572
"144",-155.631578947368
"145",-10.05
"146",-68.1235294117647
"147",-61.7151515151515
"148",-73.4454545454545
"149",-134.46
"150",-554.016666666667
"151",-98.8924528301887
"152",-30.3166666666667
"153",-61.7151515151515
"154",-77.5424242424242
"155",-41.2266666666667
"156",-209.9
"157",-127.290322580645
"158",-134.46
"159",-68.4999999999999
"160",-98.8924528301887
"161",-33.725
"162",-36.304347826087
"163",-410.033333333333
"164",-41.0358974358974
"165",-18.2
"166",17.5564516129032
"167",-41.8
"168",19.6
"169",-10.5294117647059
"170",-17.3652173913043
"171",-212.577777777778
"172",-290.508
"173",-363.281818181818
"174",-57.309375
"175",-33.6285714285714
"176",-98.8924528301887
"177",-57.3275862068965
"178",-96.2341463414634
"179",-7.38461538461539
"180",-57.3275862068965
"181",-6.96666666666667
"182",-21.695652173913
"183",-22.4962962962963
"184",-4.92380952380954
"185",16.675
"186",-47.1840659340658
"187",-52.1846153846154
"188",-237.417647058824
"189",26.9736842105265
"190",-13.28
"191",-312.307692307692
"192",-43.0111111111111
"193",-127.290322580645
"194",-10.4
"195",-410.033333333333
"196",-127.290322580645
"197",-150.719512195122
"198",-27.8875
"199",-77.5424242424242
"200",-84.6621848739496
"201",-32.9789473684211
"202",-40.9153846153846
"203",-98.8924528301887
"204",-40.9153846153846
"205",5.375
"206",-19.8555555555556
"207",-25.3390243902439
"208",-26.8894736842105
"209",-390.433333333333
"210",-54.875
"211",-47.1840659340658
"212",-22.4962962962963
"213",-57.5428571428571
"214",-11.753125
"215",-30.415625
"216",-62.6444444444444
"217",-7.13076923076923
"218",-7.55
"219",-7.38461538461539
"220",-47.1840659340658
"221",0.719047619047629
"222",-3.53571428571429
"223",-35.1714285714286
"224",-57.3275862068965
"225",-50.7633333333333
"226",-57.309375
"227",2.2
"228",-23.0714285714286
"229",-7.13076923076923
"230",-262.273333333333
"231",-12.5142857142857
"232",0.509999999999998
"233",-8.85555555555555
"234",-195.258333333334
"235",-15.0142857142857
"236",-213.64
"237",-5.98333333333333
"238",-57.3275862068965
"239",-21.2642857142857
"240",-5.06470588235294
"241",-142.626923076923
"242",-109.572727272727
"243",-102.910344827586
"244",-589.688888888889
"245",5.06875000000001
"246",-3.08461538461538
"247",-89.1304347826087
"248",-149.345454545455
"249",-145.945454545454
"250",-19.9777777777778
"251",-120.485714285714
"252",-21.695652173913
"253",-96.2341463414634
"254",-31.7
"255",-58.05
"256",10.0307692307692
"257",-57.3275862068965
"258",5.375
"259",-33.725
"260",24.5239130434783
"261",-14.9921052631579
"262",-32.5583333333333
"263",-53.9777777777776
"264",2.2
"265",0.899999999999999
"266",-77.5424242424242
"267",-32.9789473684211
"268",-40.9153846153846
"269",19.6
"270",8.02142857142854
"271",-19.4
"272",-29.8
"273",1.68
"274",-5.20769230769231
"275",-143.5
"276",-7.30000000000001
"277",127.74
"278",-169.988461538462
"279",-127.290322580645
"280",-22.3583333333333
"281",-14.9921052631579
"282",-47.1840659340658
"283",-21.4772727272727
"284",-11.753125
"285",-98.0641509433963
"286",-147.925
"287",-160.570588235294
"288",-40.3705882352941
"289",-84.6621848739496
"290",-6.59230769230768
"291",-14.9921052631579
"292",-84.6621848739496
"293",-61.7151515151515
"294",-68.1235294117647
"295",-77.5424242424242
"296",1.58571428571428
"297",-35.86
"298",-7.93333333333334
"299",41.5227272727273
"300",-5.40000000000001
"301",-72.4576271186443
"302",-3.34444444444444
"303",-46.3
"304",-60.46
"305",-73.5285714285712
"306",-5.77000000000001
"307",-106.1
"308",-109.125423728814
"309",-340.090909090909
"310",-57.3275862068965
"311",-81.6608695652176
"312",56.3333333333333
"313",-47.1840659340658
"314",-17.9541666666667
"315",-743.72
"316",-98.0641509433963
"317",-358.190909090909
"318",-64.2349999999997
"319",-23.9
"320",-127.290322580645
"321",-23.0714285714286
"322",-12.3315789473684
"323",-0.186363636363467
"324",-155.652631578947
