"","V1"
"1",2.22962962962963
"2",-0.0750000000000002
"3",2.86101694915254
"4",0.371428571428572
"5",2.89090909090909
"6",-1.35263157894737
"7",0.6375
"8",0.983333333333333
"9",-1.97142857142857
"10",2.08735632183908
"11",1.38333333333333
"12",-0.433333333333334
"13",2.975
"14",-0.113333333333332
"15",2.08735632183908
"16",0.633333333333333
"17",1.58518518518518
"18",4.852
"19",-2.2
"20",2.7948717948718
"21",1.51818181818182
"22",2.8563025210084
"23",0.0166666666666666
"24",-0.0611111111111118
"25",0.31
"26",1.85652173913043
"27",-1.56666666666667
"28",2.308
"29",0.725
"30",-4.78333333333333
"31",-2.37727272727273
"32",1.82121212121212
"33",3.36923076923077
"34",-3.38333333333333
"35",2.08735632183908
"36",1.26363636363636
"37",1.89090909090909
"38",-1.15
"39",1.8
"40",6.96842105263158
"41",0.157142857142857
"42",15.2
"43",2.25294117647059
"44",0.615
"45",-0.25
"46",-0.184615384615385
"47",1.21739130434783
"48",2.8563025210084
"49",1.07647058823529
"50",2.26923076923077
"51",1.23333333333333
"52",-2.07692307692308
"53",-1.35263157894737
"54",4.1
"55",6.01111111111111
"56",-0.455
"57",2.103125
"58",0.818181818181818
"59",-0.433333333333334
"60",2.88888888888889
"61",3.275
"62",2.7948717948718
"63",0.394444444444444
"64",4.0625
"65",-0.419444444444444
"66",2.08735632183908
"67",0.314285714285714
"68",-2.37272727272727
"69",-1.72142857142857
"70",-0.433333333333334
"71",3.95555555555556
"72",2.08735632183908
"73",1.2
"74",8.20833333333333
"75",0.425000000000001
"76",-0.0484848484848488
"77",1.71111111111111
"78",2.91707317073171
"79",-3.71666666666667
"80",1.85652173913043
"81",1
"82",2.08735632183908
"83",-3.77142857142857
"84",3.275
"85",-0.971590909090909
"86",-1.19
"87",-0.7
"88",0.625
"89",-6.475
"90",7.00857142857143
"91",3.50476190476191
"92",0.0166666666666666
"93",-1.35263157894737
"94",-0.2
"95",0.778571428571429
"96",1.68421052631579
"97",3.50476190476191
"98",2.8563025210084
"99",0.574074074074074
"100",3.51025641025641
"101",-0.0484848484848488
"102",3.56363636363636
"103",4.67058823529412
"104",1.11428571428571
"105",4.50169491525424
"106",4.27142857142857
"107",2.08735632183908
"108",-0.65934065934066
"109",-1.18333333333333
"110",-4.67333333333333
"111",1.6
"112",9.47857142857143
"113",0.00540540540540579
"114",-4.68333333333333
"115",-1.3
"116",-1.72142857142857
"117",3.28571428571429
"118",2.87857142857143
"119",-0.517391304347826
"120",1.14666666666667
"121",0.840740740740741
"122",-4.67333333333333
"123",-1.7377358490566
"124",0.644444444444444
"125",0.75
"126",0.394444444444444
"127",3.95555555555556
"128",3.275
"129",2.01333333333333
"130",0.615
"131",2.8563025210084
"132",2.59545454545455
"133",0.6375
"134",3.18888888888889
"135",2.71818181818182
"136",2.103125
"137",0.3046875
"138",2.91707317073171
"139",-4.67333333333333
"140",0.775
"141",2.26428571428571
"142",3.51025641025641
"143",1.46666666666667
"144",3.275
"145",-0.214285714285714
"146",0.31
"147",2.74782608695652
"148",0.574074074074074
"149",2.07358490566038
"150",6.01111111111111
"151",1.02857142857143
"152",0.630000000000001
"153",-1.35263157894737
"154",-1.51463414634146
"155",-1.00769230769231
"156",2.86101694915254
"157",3.36923076923077
"158",1.11428571428571
"159",0.194871794871795
"160",-0.18780487804878
"161",1.34615384615385
"162",3.18888888888889
"163",1.88
"164",2.675
"165",1.78648648648649
"166",2.675
"167",0.069230769230769
"168",2.8563025210084
"169",1.68421052631579
"170",7.00857142857143
"171",-0.228571428571428
"172",2.86101694915254
"173",2.8563025210084
"174",-1.96666666666667
"175",-2.19166666666667
"176",3.54827586206897
"177",5.07
"178",1.68421052631579
"179",0.92
"180",1.71707317073171
"181",-1.51463414634146
"182",0.774999999999999
"183",-4.68333333333333
"184",-1.51463414634146
"185",-0.393548387096773
"186",2.93636363636364
"187",4.852
"188",0.0857142857142854
"189",2.6
"190",0.840740740740741
"191",3.36923076923077
"192",-1.05714285714286
"193",-2.66521739130435
"194",1.33333333333333
"195",-2.10588235294118
"196",0.828571428571429
"197",0.779999999999999
"198",2.103125
"199",0.0999999999999996
"200",-1.43333333333333
"201",-2.53181818181818
"202",3.5
"203",-0.65934065934066
"204",-1.13809523809524
"205",1.71707317073171
"206",-1.6258064516129
"207",0.574074074074074
"208",2.93636363636364
"209",2.8563025210084
"210",2.82916666666667
"211",-0.214285714285714
"212",-0.781818181818181
"213",-2.64
"214",3.51025641025641
"215",0.0166666666666666
"216",2.675
"217",1.68421052631579
"218",-2.50652173913043
"219",0.92
"220",0.966666666666667
"221",8.3
"222",2.07
"223",-0.94
"224",-2.51428571428571
"225",0.574074074074074
"226",1.11428571428571
"227",-0.0484848484848488
"228",2.08735632183908
"229",1.6
"230",3.07272727272727
"231",0.1125
"232",-1.05
"233",2.12307692307692
"234",-2.37142857142857
"235",6.2
"236",-2.3
"237",3.0125
"238",0.640625
"239",3.0125
"240",2.22962962962963
"241",0.45
"242",-0.0750000000000002
"243",-1.76842105263158
"244",2.376
"245",0.0857142857142854
"246",6.075
"247",3.0125
"248",-2.07692307692308
"249",3.79767441860465
"250",-0.455
"251",-0.566666666666666
"252",4.50169491525424
"253",2.87857142857143
"254",-0.455
"255",0.266666666666667
"256",6.66190476190476
"257",1.66666666666667
"258",0.615
"259",-0.747619047619049
"260",-1.35263157894737
"261",1.02857142857143
"262",-1.3375
"263",3.51025641025641
"264",-0.463636363636364
"265",3.54827586206897
"266",2.31714285714286
"267",-0.65934065934066
"268",2.045
"269",-0.455
"270",-1.97142857142857
"271",0.165384615384616
"272",2.82916666666667
"273",4.04285714285714
"274",2.64090909090909
"275",9.47857142857143
"276",-0.455
"277",2.89090909090909
"278",2.08735632183908
