"","V1"
"1",-112.03781512605
"2",-6.35714285714289
"3",-498.2625
"4",151
"5",57.219298245614
"6",-34.1944444444446
"7",-60.195238095238
"8",177.752777777779
"9",10.6999999999999
"10",-540.486666666666
"11",2.76022727272721
"12",116.252631578947
"13",-18.6138888888891
"14",-285.811111111111
"15",-112.03781512605
"16",-84.367816091954
"17",-86.090476190476
"18",-174.259677419355
"19",-268.632258064516
"20",-65.6208333333333
"21",-591.682352941176
"22",517.366666666667
"23",-6.35714285714289
"24",24.2560606060606
"25",-269.815094339623
"26",2.45294117647063
"27",39.9954545454548
"28",-33.8
"29",71.0347826086957
"30",100.64406779661
"31",-86.5137362637361
"32",223.048717948718
"33",-81.0206896551724
"34",-217.518181818182
"35",-220.819444444445
"36",12.92
"37",344.9
"38",-49.2565217391304
"39",62.7909090909091
"40",190.15
"41",211.8375
"42",-101.826923076923
"43",289.307692307692
"44",-97.7900000000001
"45",-295.78947368421
"46",-171.588
"47",-65.6208333333333
"48",-34.1944444444446
"49",-42.23
"50",133.6
"51",-485.3
"52",-219.355555555556
"53",39.0954545454545
"54",-30.2073170731708
"55",-18.6138888888891
"56",-406.8
"57",29.4818181818182
"58",-314.344444444444
"59",-412.275
"60",-110.41875
"61",76.3461538461538
"62",-365.842857142857
"63",43.3666666666667
"64",85.0588235294117
"65",-84.367816091954
"66",-245.475
"67",-56.7125000000001
"68",-139.645
"69",323.150000000001
"70",-86.5137362637361
"71",747.300000000001
"72",-31.5344086021505
"73",161.791304347826
"74",-185.952380952381
"75",18.0037037037036
"76",94.9875000000002
"77",200.158333333333
"78",-43.584375
"79",-58.425
"80",-956
"81",-911.9375
"82",-219.355555555556
"83",68.1714285714286
"84",-566.871428571429
"85",18.0037037037036
"86",-22.7714285714286
"87",-139.645
"88",-123.984210526316
"89",9.57999999999993
"90",-451.764705882353
"91",-406.8
"92",26.1157894736843
"93",-12.1434782608694
"94",-20.0536585365853
"95",2.76022727272721
"96",-3.23478260869547
"97",-125.281818181818
"98",-10.9866666666667
"99",362.083333333333
"100",-278.488888888889
"101",85.0588235294117
"102",-339.1
"103",-164.7
"104",2.76022727272721
"105",130.177777777778
"106",254.713333333333
"107",59.1894736842105
"108",-12.1434782608694
